shopNo,distCode,district_name,officeCode_txn,office_name,noOfRcs,noOfTrans,total_rice,wheat,sugar,rgdal,kerosene,salt,totalAmount,otherShopTransCnt,totalRcs,totalUnits,utilization_ratio,rice_wheat_ratio,portability_ratio,commodity_total,longitude,latitude,fpsStatus,fpsType,cluster_id,pca1,pca2,dbscan_label,is_anomaly,cluster_persona,cluster_avg_utilization,utilization_gap,utilization_gap_abs,peer_anomaly_flag
1421007,538,Mahbubnagar,538021,Midjil,224.0,225.0,4155.0,0.0,0.0,0.0,0.0,9.0,45.0,9.0,335.0,1009.0,0.6716417910447762,0.0,0.04,4164.0,78.283835,16.717783,Active,Normal Shop,0,-2.4091272847548995,0.6118432074196843,-1,1,High Utilization Shops,1.1202724129566903,-0.44863062191191416,0.44863062191191416,0
1421008,538,Mahbubnagar,538021,Midjil,491.0,494.0,10290.0,0.0,0.0,0.0,0.0,1.0,5.0,36.0,605.0,1930.0,0.8165289256198347,0.0,0.0728744939271255,10291.0,78.148101,16.761658,Active,Normal Shop,0,-0.2806234924864967,-0.7467407249786714,-1,1,High Utilization Shops,1.1202724129566903,-0.30374348733685563,0.30374348733685563,0
1421009,538,Mahbubnagar,538021,Midjil,412.0,413.0,8902.0,0.0,0.0,0.0,0.0,2.0,10.0,94.0,688.0,2237.0,0.6002906976744186,0.0,0.22760290556900725,8904.0,78.265594,16.790563,Active,Normal Shop,0,-0.23122934408531576,-0.5727251003509218,-1,1,High Utilization Shops,1.1202724129566903,-0.5199817152822718,0.5199817152822718,0
1421010,538,Mahbubnagar,538021,Midjil,290.0,291.0,6449.0,0.0,0.0,0.0,0.0,1.0,5.0,153.0,310.0,1033.0,0.9387096774193548,0.0,0.5257731958762887,6450.0,78.267778,16.815053,Active,Normal Shop,0,-1.3446850191538224,0.6075797352142772,-1,1,High Utilization Shops,1.1202724129566903,-0.18156273553733548,0.18156273553733548,0
1421012,538,Mahbubnagar,538021,Midjil,346.0,346.0,7632.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,423.0,1448.0,0.817966903073286,0.0,0.07225433526011561,7636.0,78.238206,16.755431,Active,Normal Shop,0,-1.3639154807426825,-0.02568421945765949,-1,1,High Utilization Shops,1.1202724129566903,-0.3023055098834043,0.3023055098834043,0
1421015,538,Mahbubnagar,538021,Midjil,278.0,285.0,5601.0,0.0,0.0,0.0,0.0,11.0,55.0,5.0,474.0,1588.0,0.6012658227848101,0.0,0.017543859649122806,5612.0,78.324475,16.808257,Active,Normal Shop,0,-1.8076106977147222,0.21666893421445718,-1,1,High Utilization Shops,1.1202724129566903,-0.5190065901718802,0.5190065901718802,0
1421017,538,Mahbubnagar,538021,Midjil,233.0,233.0,4884.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,303.0,973.0,0.768976897689769,0.0,0.012875536480686695,4885.0,78.2245,16.767768,Active,Normal Shop,0,-2.248876870428713,0.3723400034403282,-1,1,High Utilization Shops,1.1202724129566903,-0.3512955152669214,0.3512955152669214,0
1421019,538,Mahbubnagar,538021,Midjil,359.0,359.0,7701.0,0.0,0.0,0.0,0.0,10.0,50.0,182.0,386.0,1237.0,0.9300518134715026,0.0,0.5069637883008357,7711.0,78.34594,16.739276,Active,Normal Shop,0,-1.0291200632928552,0.5603159503932699,-1,1,High Utilization Shops,1.1202724129566903,-0.19022059948518777,0.19022059948518777,0
1421034,538,Mahbubnagar,538021,Midjil,174.0,174.0,3577.0,0.0,0.0,0.0,0.0,3.0,15.0,25.0,195.0,617.0,0.8923076923076924,0.0,0.14367816091954022,3580.0,78.270228,16.746353,Active,Normal Shop,0,-2.691302711360516,0.8714829140269216,-1,1,High Utilization Shops,1.1202724129566903,-0.22796472064899798,0.22796472064899798,0
1421035,538,Mahbubnagar,538021,Midjil,173.0,173.0,3923.0,0.0,0.0,0.0,0.0,4.0,20.0,11.0,210.0,752.0,0.8238095238095238,0.0,0.06358381502890173,3927.0,78.33989,16.703044,Active,Normal Shop,0,-2.6880422979858047,0.7759085200443121,-1,1,High Utilization Shops,1.1202724129566903,-0.29646288914716656,0.29646288914716656,0
1423023,538,Mahbubnagar,538023,Jadcherla,176.0,176.0,4205.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,408.0,1411.0,0.43137254901960786,0.0,0.8181818181818182,4205.0,78.139368,16.756106,Active,Normal Shop,0,-1.3636365542221849,0.8603303707526407,0,0,High Utilization Shops,1.1202724129566903,-0.6888998639370825,0.6888998639370825,1
1423058,538,Mahbubnagar,538023,Jadcherla,204.0,204.0,4574.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,393.0,1452.0,0.5190839694656488,0.0,0.08823529411764706,4574.0,78.144018,16.713025,Active,Normal Shop,0,-1.9753962996683823,0.25172662936199625,0,0,High Utilization Shops,1.1202724129566903,-0.6011884434910415,0.6011884434910415,1
1424021,538,Mahbubnagar,538024,Bhoothpur,236.0,236.0,5554.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,577.0,2170.0,0.4090121317157712,0.0,0.5211864406779662,5554.0,78.111388,16.670705,Active,Normal Shop,0,-0.8586855029548547,0.13665797011212427,0,0,High Utilization Shops,1.1202724129566903,-0.7112602812409191,0.7112602812409191,1
1425027,538,Mahbubnagar,538025,Mahabubnagar,202.0,202.0,6580.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,815.0,2708.0,0.24785276073619633,0.0,0.26732673267326734,6580.0,77.968009,16.730336,Active,Normal Shop,0,-0.6293078107649421,-0.4409962564117218,0,0,High Utilization Shops,1.1202724129566903,-0.872419652220494,0.872419652220494,1
1425035,538,Mahbubnagar,538025,Mahabubnagar,223.0,224.0,5571.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,734.0,2214.0,0.30517711171662126,0.0,0.6785714285714286,5571.0,78.021996,16.743589,Active,Normal Shop,0,-0.5226515039568645,0.09479440733054921,0,0,High Utilization Shops,1.1202724129566903,-0.815095301240069,0.815095301240069,1
1427027,538,Mahbubnagar,538027,Devarkadara,238.0,238.0,4766.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,433.0,1391.0,0.5496535796766744,0.0,0.23949579831932774,4766.0,77.877319,16.483116,Active,Normal Shop,0,-1.6843180540146496,0.28281184909888873,0,0,High Utilization Shops,1.1202724129566903,-0.570618833280016,0.570618833280016,1
1465007,538,Mahbubnagar,538065,Mohammadabad,369.0,369.0,8816.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,645.0,2192.0,0.5720930232558139,0.0,0.032520325203252036,8816.0,77.837743,16.869881,Active,Normal Shop,0,-0.6253926830790744,-0.6650999258498952,0,0,High Utilization Shops,1.1202724129566903,-0.5481793897008764,0.5481793897008764,1
1465014,538,Mahbubnagar,538065,Mohammadabad,267.0,267.0,6615.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,511.0,1779.0,0.5225048923679061,0.0,0.07116104868913857,6615.0,77.872807,16.910438,Active,Normal Shop,0,-1.3665650691277988,-0.1468504226232076,0,0,High Utilization Shops,1.1202724129566903,-0.5977675205887842,0.5977675205887842,1
1465017,538,Mahbubnagar,538065,Mohammadabad,124.0,124.0,3363.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,269.0,927.0,0.46096654275092935,0.0,0.016129032258064516,3363.0,77.925699,16.852669,Active,Normal Shop,0,-2.7022982821846253,0.6221836287960785,0,0,High Utilization Shops,1.1202724129566903,-0.659305870205761,0.659305870205761,1
1465019,538,Mahbubnagar,538065,Mohammadabad,145.0,145.0,3682.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,327.0,1243.0,0.4434250764525994,0.0,0.08275862068965517,3682.0,77.883031,16.915798,Active,Normal Shop,0,-2.3735492373170417,0.4921530481704564,0,0,High Utilization Shops,1.1202724129566903,-0.676847336504091,0.676847336504091,1
1481001,538,Mahbubnagar,538025,Mahabubnagar,50.0,50.0,1231.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,518.0,1473.0,0.09652509652509653,0.0,0.96,1231.0,77.986079,16.744006,Active,Normal Shop,0,-1.8231954284249978,1.1170841207233626,0,0,High Utilization Shops,1.1202724129566903,-1.0237473164315938,1.0237473164315938,1
1481003,538,Mahbubnagar,538025,Mahabubnagar,292.0,293.0,6840.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,707.0,1977.0,0.4144271570014144,0.0,0.4129692832764505,6840.0,77.987693,16.741753,Active,Normal Shop,0,-0.5860736942640619,-0.17888350320511517,0,0,High Utilization Shops,1.1202724129566903,-0.7058452559552759,0.7058452559552759,1
1481005,538,Mahbubnagar,538025,Mahabubnagar,242.0,244.0,4992.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,540.0,1709.0,0.45185185185185184,0.0,0.4959016393442623,4992.0,77.987378,16.744107,Active,Normal Shop,0,-1.130759181568743,0.27809591184187993,0,0,High Utilization Shops,1.1202724129566903,-0.6684205611048385,0.6684205611048385,1
1481015,538,Mahbubnagar,538025,Mahabubnagar,232.0,232.0,5358.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,432.0,1312.0,0.5370370370370371,0.0,0.5517241379310345,5358.0,77.986916,16.745108,Active,Normal Shop,0,-1.3405075982393564,0.5283522182275362,0,0,High Utilization Shops,1.1202724129566903,-0.5832353759196532,0.5832353759196532,1
1481016,538,Mahbubnagar,538025,Mahabubnagar,195.0,195.0,3917.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,439.0,1484.0,0.44419134396355353,0.0,0.30256410256410254,3917.0,77.988672,16.745098,Active,Normal Shop,0,-1.7829494933423726,0.4016260335093641,0,0,High Utilization Shops,1.1202724129566903,-0.6760810689931368,0.6760810689931368,1
1481023,538,Mahbubnagar,538025,Mahabubnagar,73.0,73.0,1461.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,228.0,780.0,0.3201754385964912,0.0,0.6986301369863014,1461.0,77.989601,16.75333,Active,Normal Shop,0,-2.5412925752057505,1.3606565144759608,0,0,High Utilization Shops,1.1202724129566903,-0.8000969743601991,0.8000969743601991,1
1481029,538,Mahbubnagar,538025,Mahabubnagar,287.0,287.0,6354.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,740.0,2046.0,0.3878378378378378,0.0,0.7909407665505227,6354.0,78.002852,16.751428,Active,Normal Shop,0,-0.16532958761122174,0.10020084452873805,0,0,High Utilization Shops,1.1202724129566903,-0.7324345751188526,0.7324345751188526,1
1481030,538,Mahbubnagar,538025,Mahabubnagar,152.0,152.0,3507.0,132.0,0.0,0.0,0.0,0.0,924.0,81.0,1021.0,3355.0,0.14887365328109697,26.568181818181817,0.5328947368421053,3639.0,77.99234,16.755429,Active,Normal Shop,0,-0.25180873381010666,-0.24377628489812694,0,0,High Utilization Shops,1.1202724129566903,-0.9713987596755933,0.9713987596755933,1
1481031,538,Mahbubnagar,538025,Mahabubnagar,219.0,219.0,5388.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,517.0,1642.0,0.42359767891682787,0.0,0.5114155251141552,5388.0,77.986085,16.744045,Active,Normal Shop,0,-1.1975674620640637,0.3447592481397676,0,0,High Utilization Shops,1.1202724129566903,-0.6966747340398625,0.6966747340398625,1
1481032,538,Mahbubnagar,538025,Mahabubnagar,218.0,218.0,4894.0,171.0,0.0,0.0,0.0,0.0,1197.0,174.0,745.0,2186.0,0.29261744966442954,28.619883040935672,0.7981651376146789,5065.0,77.99523,16.737534,Active,Normal Shop,0,-0.35975652034195466,0.4259360447249121,0,0,High Utilization Shops,1.1202724129566903,-0.8276549632922607,0.8276549632922607,1
1481039,538,Mahbubnagar,538025,Mahabubnagar,217.0,237.0,5163.0,57.0,0.0,0.0,0.0,0.0,399.0,206.0,497.0,1485.0,0.4768611670020121,90.57894736842105,0.869198312236287,5220.0,77.987365,16.749374,Active,Normal Shop,0,-0.8352901283235191,0.7676041384779642,0,0,High Utilization Shops,1.1202724129566903,-0.6434112459546782,0.6434112459546782,1
1481040,538,Mahbubnagar,538025,Mahabubnagar,254.0,258.0,5140.0,230.0,0.0,0.0,0.0,0.0,1610.0,153.0,1055.0,3580.0,0.24454976303317535,22.347826086956523,0.5930232558139535,5370.0,77.9887,16.755151,Active,Normal Shop,2,0.48607760192757543,-0.37984223603886125,0,0,Low Volume Shops,0.9164043864139737,-0.6718546233807984,0.6718546233807984,1
1481055,538,Mahbubnagar,538025,Mahabubnagar,79.0,79.0,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,557.0,1853.0,0.14183123877917414,0.0,0.8481012658227848,1668.0,77.98209,16.74232,Active,Normal Shop,0,-1.5888799931793374,0.8516420505062933,0,0,High Utilization Shops,1.1202724129566903,-0.9784411741775162,0.9784411741775162,1
1481059,538,Mahbubnagar,538025,Mahabubnagar,24.0,24.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,525.0,1739.0,0.045714285714285714,0.0,0.625,532.0,77.98223,16.74438,Active,Normal Shop,0,-2.1503548795664016,0.869402162438234,0,0,High Utilization Shops,1.1202724129566903,-1.0745581272424045,1.0745581272424045,1
1485017,538,Mahbubnagar,538085,Rajapur,188.0,188.0,4453.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,418.0,1460.0,0.44976076555023925,0.0,0.05319148936170213,4453.0,78.222548,16.867292,Active,Normal Shop,0,-2.0288248495833408,0.2242006054360843,0,0,High Utilization Shops,1.1202724129566903,-0.6705116474064511,0.6705116474064511,1
1486014,538,Mahbubnagar,538086,Mahabubnagar Rural,373.0,380.0,7556.0,0.0,0.0,0.0,0.0,25.0,125.0,10.0,558.0,1921.0,0.6810035842293907,0.0,0.02631578947368421,7581.0,77.889647,16.695882,Active,Normal Shop,0,-1.4003112894951943,0.2095019674026287,-1,1,High Utilization Shops,1.1202724129566903,-0.43926882872729967,0.43926882872729967,0
1486020,538,Mahbubnagar,538086,Mahabubnagar Rural,156.0,156.0,3429.0,0.0,0.0,0.0,0.0,1.0,5.0,71.0,312.0,1090.0,0.5,0.0,0.4551282051282051,3430.0,78.002497,16.855908,Active,Normal Shop,0,-2.107687540258636,0.8487533393190595,-1,1,High Utilization Shops,1.1202724129566903,-0.6202724129566903,0.6202724129566903,1
1490006,538,Mahbubnagar,538090,Gandeed,227.0,228.0,5711.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,405.0,1374.0,0.562962962962963,0.0,0.02631578947368421,5711.0,77.776138,16.884083,Active,Normal Shop,0,-1.877057681375173,0.12377542201855188,0,0,High Utilization Shops,1.1202724129566903,-0.5573094499937273,0.5573094499937273,1
1490007,538,Mahbubnagar,538090,Gandeed,47.0,47.0,1101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,673.0,0.21962616822429906,0.0,0.0,1101.0,77.77009,16.89673,Active,Normal Shop,0,-3.2904991783878677,0.9407671496547257,0,0,High Utilization Shops,1.1202724129566903,-0.9006462447323913,0.9006462447323913,1
1500009,537,Ranga Reddy,537100,Gandipet,544.0,544.0,11568.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0,365.0,1189.0,1.4904109589041097,0.0,0.8988970588235294,11568.0,78.375953,17.398275,Active,Normal Shop,2,0.6249333242731698,0.2502696943157901,0,0,Low Volume Shops,0.9164043864139737,0.574006572490136,0.574006572490136,1
1500013,537,Ranga Reddy,537100,Gandipet,1339.0,1341.0,30722.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0,910.0,2892.0,1.4736263736263737,0.0,0.5950782997762863,30722.0,78.292832,17.419452,Active,Normal Shop,2,5.910734765138338,-2.890095512646745,0,0,Low Volume Shops,0.9164043864139737,0.5572219872124,0.5572219872124,1
1500020,537,Ranga Reddy,537100,Gandipet,780.0,781.0,17896.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,506.0,1659.0,1.5434782608695652,0.0,0.7234314980793854,17896.0,78.354474,17.376797,Active,Normal Shop,2,2.1385512351103895,-0.7451040528704919,0,0,Low Volume Shops,0.9164043864139737,0.6270738744555915,0.6270738744555915,1
1504019,537,Ranga Reddy,537004,Shankarpalle,1039.0,1047.0,25435.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,707.0,2403.0,1.4809052333804809,0.0,0.7841451766953199,25435.0,78.129146,17.454236,Active,Normal Shop,2,4.412383470952536,-1.739449813115181,0,0,Low Volume Shops,0.9164043864139737,0.5645008469665072,0.5645008469665072,1
1517014,537,Ranga Reddy,537017,Moinabad,1373.0,1373.0,29638.0,0.0,74.0,0.0,0.0,0.0,999.0,353.0,1255.0,3946.0,1.0940239043824702,0.0,0.25710123816460306,29712.0,78.260763,17.33737,Active,Normal Shop,1,6.734349667055132,-1.5574567056901907,-1,1,Portability Hub,1.1362342413867519,-0.04221033700428167,0.04221033700428167,0
1517021,537,Ranga Reddy,537017,Moinabad,1284.0,1284.0,31338.0,0.0,25.0,0.0,0.0,0.0,337.5,774.0,834.0,2960.0,1.539568345323741,0.0,0.602803738317757,31363.0,78.273681,17.329046,Active,Normal Shop,2,6.043573278893165,-1.9830592826240043,-1,1,Low Volume Shops,0.9164043864139737,0.6231639589097673,0.6231639589097673,1
1531031,537,Ranga Reddy,537031,Shabad,290.0,290.0,6504.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,515.0,1719.0,0.5631067961165048,0.0,0.02413793103448276,6504.0,78.169001,17.203905,Active,Normal Shop,0,-1.3908309666836347,-0.20369268876095178,0,0,High Utilization Shops,1.1202724129566903,-0.5571656168401855,0.5571656168401855,1
1532002,537,Ranga Reddy,537032,Shamshabad,2011.0,2011.0,45978.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.0,1593.0,5105.0,1.2623979912115506,0.0,0.5698657384385878,45978.0,78.393382,17.260045,Active,Normal Shop,1,11.107789443071404,-5.728207212879012,-1,1,Portability Hub,1.1362342413867519,0.12616374982479872,0.12616374982479872,0
1532014,537,Ranga Reddy,537032,Shamshabad,336.0,336.0,7130.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,199.0,629.0,1.6884422110552764,0.0,0.8601190476190477,7130.0,78.368739,17.263809,Active,Normal Shop,0,-1.0048490955815352,0.9794648026265366,0,0,High Utilization Shops,1.1202724129566903,0.568169798098586,0.568169798098586,1
1532038,537,Ranga Reddy,537032,Shamshabad,1033.0,1033.0,22814.0,0.0,0.0,0.0,0.0,0.0,0.0,773.0,689.0,2226.0,1.4992743105950652,0.0,0.7483059051306873,22814.0,78.387771,17.267556,Active,Normal Shop,2,3.945673184515541,-1.5883166471388197,0,0,Low Volume Shops,0.9164043864139737,0.5828699241810915,0.5828699241810915,1
1532039,537,Ranga Reddy,537032,Shamshabad,1159.0,1161.0,25108.0,0.0,0.0,0.0,0.0,0.0,0.0,878.0,705.0,2232.0,1.646808510638298,0.0,0.756244616709733,25108.0,78.384078,17.261092,Active,Normal Shop,2,4.640878569806219,-1.8602575909661725,0,0,Low Volume Shops,0.9164043864139737,0.7304041242243242,0.7304041242243242,1
1533019,537,Ranga Reddy,537033,Maheswaram,236.0,236.0,5585.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,568.0,1849.0,0.4154929577464789,0.0,0.11016949152542373,5585.0,78.470602,17.201697,Active,Normal Shop,0,-1.4134479229010941,-0.10353805428175246,0,0,High Utilization Shops,1.1202724129566903,-0.7047794552102115,0.7047794552102115,1
1535010,537,Ranga Reddy,537035,Manchal,353.0,354.0,8227.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,626.0,2039.0,0.5654952076677316,0.0,0.2231638418079096,8227.0,78.720287,17.159582,Active,Normal Shop,0,-0.572281843631918,-0.404592892220479,0,0,High Utilization Shops,1.1202724129566903,-0.5547772052889587,0.5547772052889587,1
1535014,537,Ranga Reddy,537035,Manchal,360.0,360.0,7106.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,661.0,2126.0,0.5446293494704992,0.0,0.5027777777777778,7106.0,78.832253,17.039945,Active,Normal Shop,0,-0.26011295092973963,-0.1929043221485342,0,0,High Utilization Shops,1.1202724129566903,-0.5756430634861911,0.5756430634861911,1
1535017,537,Ranga Reddy,537035,Manchal,378.0,378.0,8209.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,690.0,2376.0,0.5478260869565217,0.0,0.015873015873015872,8209.0,78.777187,17.060723,Active,Normal Shop,0,-0.5668799369945842,-0.7562145288650955,0,0,High Utilization Shops,1.1202724129566903,-0.5724463260001686,0.5724463260001686,1
1539003,537,Ranga Reddy,537039,Farooqnagar,1035.0,1039.0,22687.0,0.0,0.0,0.0,0.0,0.0,0.0,838.0,638.0,2232.0,1.628526645768025,0.0,0.8065447545717036,22687.0,78.211011,17.06848,Active,Normal Shop,2,4.006368560332874,-1.4730255119229998,0,0,Low Volume Shops,0.9164043864139737,0.7121222593540513,0.7121222593540513,1
1539013,537,Ranga Reddy,537039,Farooqnagar,1150.0,1152.0,24464.0,0.0,0.0,0.0,0.0,0.0,0.0,988.0,672.0,2167.0,1.7142857142857142,0.0,0.8576388888888888,24464.0,78.201458,17.065392,Active,Normal Shop,2,4.702821050756527,-1.6623078254248027,0,0,Low Volume Shops,0.9164043864139737,0.7978813278717405,0.7978813278717405,1
1539024,537,Ranga Reddy,537039,Farooqnagar,229.0,229.0,5243.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,500.0,1654.0,0.458,0.0,0.09606986899563319,5243.0,78.119575,17.041386,Active,Normal Shop,0,-1.6334880383508936,0.02921899662260221,0,0,High Utilization Shops,1.1202724129566903,-0.6622724129566904,0.6622724129566904,1
1581067,537,Ranga Reddy,537081,Saroornagar-3,1378.0,1378.0,29830.0,3320.0,0.0,0.0,0.0,0.0,23240.0,1044.0,1629.0,5210.0,0.8459177409453652,8.984939759036145,0.7576197387518142,33150.0,78.358485,17.498002,Active,Normal Shop,1,10.336572886701624,-0.11661067030861377,-1,1,Portability Hub,1.1362342413867519,-0.2903165004413867,0.2903165004413867,0
1581070,537,Ranga Reddy,537081,Saroornagar-3,888.0,888.0,20128.0,345.0,0.0,0.0,3.0,0.0,2520.0,845.0,672.0,2161.0,1.3214285714285714,58.34202898550725,0.9515765765765766,20476.0,78.342841,17.466043,Active,Normal Shop,2,3.7859075138161558,-0.686813286109561,-1,1,Low Volume Shops,0.9164043864139737,0.4050241850145977,0.4050241850145977,0
1581313,537,Ranga Reddy,537081,Saroornagar-3,309.0,310.0,5063.0,250.0,0.0,0.0,0.0,0.0,1750.0,253.0,554.0,1504.0,0.5595667870036101,20.252,0.8161290322580645,5313.0,78.305898,17.482222,Active,Normal Shop,0,-0.4374643546489492,0.7739922901836012,0,0,High Utilization Shops,1.1202724129566903,-0.5607056259530803,0.5607056259530803,1
1581387,537,Ranga Reddy,537081,Saroornagar-3,1464.0,1464.0,31957.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1692.0,5645.0,0.8652482269503546,0.0,0.6775956284153005,31957.0,78.355509,17.507242,Active,Normal Shop,1,8.567552688926192,-4.492883574058784,-1,1,Portability Hub,1.1362342413867519,-0.27098601443639725,0.27098601443639725,0
1581405,537,Ranga Reddy,537081,Saroornagar-3,2380.0,2389.0,53943.0,4000.0,0.0,0.0,0.0,0.0,28000.0,1393.0,2377.0,8112.0,1.0050483803113168,13.48575,0.583089158643784,57943.0,78.357531,17.480476,Active,Normal Shop,1,17.92575702045422,-3.3766221089295017,-1,1,Portability Hub,1.1362342413867519,-0.13118586107543506,0.13118586107543506,0
